# GENERATED by backend/scripts/reconcile_twda.py — do not hand-edit.
# Human decisions belong in backend/src/data/twda_rulings.tsv, which
# is an input to this file.
#
# twda_id<TAB>action[<TAB>target]
#   attach:<tournament_uid>  we already hold this event
#   create<TAB><user_uid>    reconstruct it, won by that member
#   create                   reconstruct nothing: winner unresolved
#   review<TAB><uids>        UNDECIDED, with the candidates
#
# The consumer creates only `create` lines carrying a winner. Every
# other shape is logged and skipped, never guessed at.
10635	attach:019f1a19-edf2-75d8-b7ff-8d62d620922e
10636	attach:019f1a19-edf7-756f-ae81-2361fabf32fa
10639	attach:019f1a19-ee03-75af-8994-2ae0bb2eb561
10643	attach:019f1a19-ee95-7666-b47f-f097b47c009b
10645	attach:019f1a19-eeb8-7303-846e-66aa6549e5dc
10649	attach:019f1a19-eeef-7722-8fa4-34db74cdf184
10657	attach:019f1a19-eff0-753d-aaff-de94442bf7f9
10658	attach:019f1a19-f014-716b-8e0b-944dad8612d9
10659	attach:019f1a19-f039-716a-82c3-65672a9bfae1
10660	attach:019f1a19-f040-754d-a0f5-5bfd25576986
10661	attach:019f1a19-f0be-76bf-ba5f-abcc3319b79b
10662	attach:019f1a19-f0c7-7374-bd43-2f11556d3307
10664	attach:019f1a19-f11b-74cc-9348-3b4a09841263
10667	attach:019f1a19-f12c-7463-bf59-0f5de34a044d
10670	attach:019f1a19-f184-73ee-858d-368d342514b9
10671	attach:019f1a19-f20c-715c-81ef-bef40bea5a17
10673	attach:019f1a19-f218-75c1-a710-a931c799bab4
10675	attach:019f1a19-f222-7628-95b6-2489c5331b59
10676	attach:019f1a19-f24a-73ee-b661-6c94d24a8e26
10677	attach:019f1a19-f256-736d-b31e-9de4059a21c3
10681	attach:019f1a19-f2f2-71ee-87b3-39e8a4ccbd86
10683	attach:019f1a19-f305-7783-81ae-79eede5a2ed4
10684	attach:019f1a19-f30a-7750-a397-fcdd3a553f40
10687	attach:019f1a19-f351-71dc-b6e4-f68ee5947b10
10694	attach:019f1a19-f433-7449-bb20-8f8bb6111884
10695	attach:019f1a19-f43f-7554-bac7-651cff2238d3
10698	attach:019f1a19-f471-73c6-930d-e602b468719b
10701	attach:019f1a19-f512-76f1-b47d-02bb694bf2ce
10702	attach:019f1a19-f51b-7058-9237-ecc76ce44883
10707	attach:019f1a19-f554-73eb-8d86-08714cf7f017
10711	attach:019f1a19-f626-7698-a89f-f9364e2d9264
10719	attach:019f1a19-f67d-71f8-9867-be84d3e23948
10720	attach:019f1a19-f682-70bf-9737-c277fe4e37fc
10728	attach:019f1a19-f91c-7077-9895-98e5dbc00f87
10730	attach:019f1a19-f947-723d-b791-306971f707c8
10731	attach:019f1a19-f9bc-76e3-a80f-21a59ae64395
10732	attach:019f1a19-f9c6-7018-90c6-1abbb04f59e7
10733	attach:019f1a19-f9ce-729d-bbc8-2eebfeb4bcf8
10734	attach:019f1a19-f9d5-7676-a10c-3219264d272a
10735	attach:019f1a19-f9dd-72f0-a162-e798d8cafe6e
10736	attach:019f1a19-f9e4-74f0-8531-89e51fa4d938
10737	attach:019f1a19-fa06-76cf-b841-971b277f00b8
10738	attach:019f1a19-fa19-778c-9194-44213799178f
10744	attach:019f1a19-fb48-705e-b749-3f6b6b61a461
10746	attach:019f1a19-fb54-75ea-a94f-f57876e92dc0
10749	attach:019f1a19-fb68-755b-b8fa-f9d2de9ee74e
10755	attach:019f1a19-fc27-70e1-a7dd-d569f7580336
10759	attach:019f1a19-fc36-74ff-95ad-1aeb1544dbcf
10762	attach:019f1a19-fce8-75a2-92b8-f1f411ed8d96
10764	attach:019f1a19-fd17-7624-a2f1-8d3872d04137
10765	attach:019f1a19-fd20-74d2-bf60-6d6ed689f190
10767	attach:019f1a19-fd2e-7204-b8be-6f2de01488eb
10770	attach:019f1a19-fd5d-70c0-aa4b-0c5d0dac6bf4
10771	attach:019f1a19-fdbe-778d-9e4b-81d62bb048c3
10772	attach:019f1a19-fdc5-77e3-a43d-aac947b20f0d
10773	attach:019f1a19-fdcb-75a5-afdc-691b28a78155
10774	attach:019f1a19-fded-75c5-b06d-17c7334a8613
10775	attach:019f1a19-fdf6-72ba-ae59-24c657cd68e9
10778	attach:019f1a19-fe33-76a3-ad25-6cc45f068c82
10788	attach:019f1a1a-017f-713d-8e7d-82a10a3b6608
10792	attach:019f1a1a-0213-77a2-9956-0e0a08e5ad3d
10794	attach:019f1a1a-021f-74f2-8dc9-98945c07fecd
10795	attach:019f1a1a-0249-71d6-91ae-cfd94061b363
10796	attach:019f1a1a-024f-735d-8d90-4835de9cc9c6
10803	attach:019f1a1a-032a-72c5-a47d-27d84da97e0d
10807	attach:019f1a1a-043e-76de-8742-d74a9de399c3
10810	attach:019f1a1a-04bc-7030-bb12-b88fd11140a9
10812	attach:019f1a1a-055e-731a-b4ce-ce0b90a2d58b
10816	attach:019f1a1a-0571-7634-bd2e-a4d5286df7fb
10826	attach:019f1a1a-0648-74ca-8eaa-618a55d162eb
10827	attach:019f1a1a-064e-7201-be50-e28364fa8abb
10830	attach:019f1a1a-0677-7478-a606-a7e3f4d08e00
10832	attach:019f1a1a-0709-7172-aa5e-bd20af800bd4
10833	attach:019f1a1a-0710-769b-aa9c-7c2d2cb93a02
10834	attach:019f1a1a-0715-76a6-9ad0-263116a04bf4
10837	attach:019f1a1a-0747-703f-8a72-a43bfa7cb298
10842	create
10843	attach:019f1a1a-07ee-7568-9714-d93c9e5434e8
10846	attach:019f1a1a-081b-72af-9004-ba4c963f4741
10852	attach:019f1a1a-08df-7560-baaa-dbade933f1ba
10853	attach:019f1a1a-0912-7024-8169-c97b1dfbf0ef
10854	attach:019f1a1a-0919-77d3-a948-7cdbb828700f
10855	attach:019f1a1a-091f-74db-8333-8b5403ee98bf
10858	create	019f1a00-4359-77e5-9514-895b6d2a804a
10860	create	019f19ff-983b-70cd-a981-10b720710c82
10866	attach:019f1a1a-09e4-7719-9aa3-92e2715ff22c
10867	attach:019f1a1a-09e9-7375-be7c-feeb10ae609b
10869	attach:019f1a1a-0a1d-7430-972d-8909d4557302
10875	attach:019f1a1a-0aaf-77fa-b60d-332417553c90
10876	attach:019f1a1a-0ad2-7061-8013-4a97df32d837
10877	attach:019f1a1a-0ada-71e6-aec7-5360c0c38825
10878	attach:019f1a1a-0ae3-7286-b712-749a337ba385
10879	attach:019f1a1a-0ae7-735a-b96c-3dddf220c34c
10880	attach:019f1a1a-0aeb-72be-93d1-dc99e69194b9
10881	attach:019f1a1a-0b81-7637-8577-e736730e4c9c
10886	attach:019f1a1a-0bd8-706a-a264-666ea1202fdb
10888	attach:019f1a1a-0c01-77f4-bcb9-a5cc5c28c644
10891	attach:019f1a1a-0c7f-7797-88ad-c526d1106ead
10892	attach:019f1a1a-0ca1-7456-bdec-bf2d5234daa7
10895	attach:019f1a1a-0caf-755a-bb65-74034373cb62
10896	attach:019f1a1a-0cb4-772a-9143-f7de1874b1bb
10897	attach:019f1a1a-0cda-7540-8c61-5dec11c8ce90
10903	attach:019f1a1a-0d8b-7030-a542-b5f533f36be4
10904	attach:019f1a1a-0d90-741e-ab9d-105a1e49b7c9
10907	attach:019f1a1a-0d96-76fd-ae08-b980874dd1af
10909	attach:019f1a1a-0dd0-7534-bc96-c306c92f2d6d
10913	attach:019f1a1a-0e5e-703c-ba13-0c4b40caeb1e
10914	attach:019f1a1a-0e68-70dd-b047-c7dd37523a34
10915	attach:019f1a1a-0e6f-752c-8fb5-2e6ddd914a22
10917	attach:019f1a1a-0e7c-74a6-bb01-64cfdb4ee66d
10918	attach:019f1a1a-0e80-7779-87e2-408d3c94e785
10919	attach:019f1a1a-0ea2-77e7-910f-f26cb683d4e8
10921	attach:019f1a1a-0f74-77df-8815-c3a454cc8888
10924	attach:019f1a1a-0fc3-751b-a5ce-9a04f27fb1c7
10927	attach:019f1a1a-0fcb-7592-a4b7-8810d44218c9
10938	attach:019f1a1a-10bd-7447-9e87-3c9d00c015bf
10941	attach:019f1a1a-114d-7056-a396-26846736fa61
10943	attach:019f1a1a-115d-768a-bcd2-d8aa66cdfcf2
10945	attach:019f1a1a-116a-7528-b8da-36c332fd19ad
10951	attach:019f1a1a-1333-7173-a643-7c2e608934f4
10959	attach:019f1a1a-13cb-7173-aab2-9e6fc814492f
10968	attach:019f1a1a-14df-70fa-9b3b-9e6a3012345b
10974	attach:019f1a1a-1571-764c-85e9-6582421384a3
10975	attach:019f1a1a-1591-7622-8df2-a82a7037be9a
10976	attach:019f1a1a-1598-7135-9e05-5337ff7a43bb
10978	attach:019f1a1a-15a2-77c5-a0c6-353f28f938bb
10979	attach:019f1a1a-15ab-77e8-816c-a738ab525321
10984	attach:019f1a1a-1665-71cc-800b-af4a65c33eb9
10986	attach:019f1a1a-166c-7299-8c62-b34c5e863e38
10991	attach:019f1a1a-16f3-723e-ac9a-fd0acabeda07
10992	attach:019f1a1a-1716-76bf-ad3c-7fe73f6c4a7d
10996	attach:019f1a1a-174c-75ac-92d9-b9a41a85cd14
10998	attach:019f1a1a-1780-7440-ac25-d02bf0a215ee
11001	attach:019f1a1a-1844-736d-8c7a-5d6f202bf8b4
11004	attach:019f1a1a-1866-709c-ac25-034c4bb77194
11009	attach:019f1a1a-18b1-7194-b774-eff646255db9
11014	attach:019f1a1a-1923-766f-bba2-ae0291673caa
11015	attach:019f1a1a-192b-739e-954a-93a69971a9a4
11016	attach:019f1a1a-1933-75f2-9ff6-22c0cdc035ee
11018	attach:019f1a1a-195a-70f4-bc70-f45610e34594
11023	attach:019f1a1a-1a0a-76fc-98ff-dbd8a997e127
11024	attach:019f1a1a-1a2c-769c-8350-e3b4136d7adb
11028	attach:019f1a1a-1a35-71a8-95d4-d0079d7f968a
11029	attach:019f1a1a-1a3d-7163-ad5d-a52676790d1b
11030	attach:019f1a1a-1a43-77a0-9c29-109b1fcf42e1
11032	attach:019f1a1a-1aac-737d-8d6d-52727958227c
11034	attach:019f1a1a-1acd-761d-9b38-c6116a6505e7
11037	attach:019f1a1a-1af8-7727-bc1a-0b247309e0d8
